Instance,shuffle time,cost,performance,time
C101_20_2D,0,473.79247568216726,0.5177324411496,0.014068331718444824
C101_20_2D,1,473.79247568216726,0.5177324411496,0.013800520896911622
C101_20_2D,2,473.79247568216726,0.5177324411496,0.013800654411315918
C101_20_2D,3,473.79247568216726,0.5177324411496,0.013740997314453125
C101_20_2D,4,473.79247568216726,0.5177324411496,0.01373995304107666
C101_20_2D,5,473.79247568216726,0.5177324411496,0.013799839019775391
C101_20_2D,6,473.79247568216726,0.5177324411496,0.013738889694213868
C101_20_2D,7,473.79247568216726,0.5177324411496,0.01374591827392578
C101_20_2D,8,473.79247568216726,0.5177324411496,0.01374204158782959
C101_20_2D,9,473.79247568216726,0.5177324411496,0.013749275207519531
C101_20_2D,10,473.79247568216726,0.5177324411496,0.013773775100708008
C101_20_2D,11,473.79247568216726,0.5177324411496,0.01379094123840332
C101_20_2D,12,473.79247568216726,0.5177324411496,0.013751559257507324
C101_20_2D,13,473.79247568216726,0.5177324411496,0.013725929260253907
C101_20_2D,14,473.79247568216726,0.5177324411496,0.013733930587768554
C101_20_2D,15,473.79247568216726,0.5177324411496,0.013698945045471192
C101_20_2D,16,473.79247568216726,0.5177324411496,0.013724703788757325
C101_20_2D,17,473.79247568216726,0.5177324411496,0.013767385482788086
C101_20_2D,18,473.79247568216726,0.5177324411496,0.013733201026916504
C101_20_2D,19,473.79247568216726,0.5177324411496,0.013731226921081544
C101_20_2D,20,473.79247568216726,0.5177324411496,0.013757562637329102
C101_20_2D,21,473.79247568216726,0.5177324411496,0.013710827827453613
C101_20_2D,22,473.79247568216726,0.5177324411496,0.01368471622467041
C101_20_2D,23,473.79247568216726,0.5177324411496,0.013714027404785157
C101_20_2D,24,473.79247568216726,0.5177324411496,0.01368438720703125
C101_20_2D,25,473.79247568216726,0.5177324411496,0.013720836639404297
C101_20_2D,26,473.79247568216726,0.5177324411496,0.013730983734130859
C101_20_2D,27,473.79247568216726,0.5177324411496,0.013698210716247558
C101_20_2D,28,473.79247568216726,0.5177324411496,0.013741612434387207
C101_20_2D,29,473.79247568216726,0.5177324411496,0.01376269817352295
