Instance,shuffle time,cost,run time
C101_50,0,544.3533938335727,2.9460237503051756
C101_50,1,528.0434614344995,2.9764230108261107
C101_50,2,522.4541364455688,2.9778487730026244
C101_50,3,535.3327891758272,3.007676668167114
C101_50,4,528.835749511035,3.0058181715011596
C101_50,5,529.2335053721381,2.993359408378601
C101_50,6,526.3102920754284,2.9888965272903443
C101_50,7,528.0434614344995,2.951238040924072
C101_50,8,535.9659580772461,2.978288588523865
C101_50,9,528.0434614344995,2.902606210708618
C101_50,10,527.3319999414787,2.9000777626037597
C101_50,11,529.621419740088,2.9725223541259767
C101_50,12,526.1805268429526,3.0066265726089476
C101_50,13,535.3327891758272,2.885331530570984
C101_50,14,524.9219828198338,2.9499018239974975
C101_50,15,530.4380940322455,3.0261990547180178
C101_50,16,525.0141409548951,2.9280905818939207
C101_50,17,528.0434614344995,2.9105767440795898
C101_50,18,527.0495885306506,2.989229130744934
C101_50,19,527.2844041877022,2.9938204669952393
C101_50,20,542.4267126514872,2.965640273094177
C101_50,21,528.0434614344995,2.983726239204407
C101_50,22,517.0577719539208,2.9656437253952026
C101_50,23,528.7049246731744,2.9997243213653566
C101_50,24,524.9111457877852,2.95663526058197
C101_50,25,528.0434614344995,3.0017168283462525
C101_50,26,537.4535787437467,2.9871236181259153
C101_50,27,533.599619816756,2.9917354488372805
C101_50,28,529.1795500091267,2.939167652130127
C101_50,29,527.2844041877022,2.9578744888305666
