Instance,shuffle time,cost,performance,run time
R101,0,858.8183670408242,0.9768447285647198,0.5853836870193482
R101,1,858.8183670408242,0.9768447285647198,0.5773010158538818
R101,2,858.8183670408242,0.9768447285647198,0.4984664726257324
R101,3,858.8183670408242,0.9768447285647198,0.5029272079467774
R101,4,834.838724583193,1.0054129317252984,0.4060144186019897
R101,5,858.8183670408242,0.9768447285647198,0.40086495399475097
R101,6,858.8183670408242,0.9768447285647198,0.4083136701583862
R101,7,858.8183670408242,0.9768447285647198,0.41756664752960204
R101,8,858.8183670408242,0.9768447285647198,0.4251320743560791
R101,9,858.8183670408242,0.9768447285647198,0.44444301128387453
R101,10,858.8183670408242,0.9768447285647198,0.4604302263259888
R101,11,858.8183670408242,0.9768447285647198,0.4941231346130371
R101,12,858.8183670408242,0.9768447285647198,0.42051125526428224
R101,13,858.8183670408242,0.9768447285647198,0.4262460041046143
R101,14,858.8183670408242,0.9768447285647198,0.43340113639831546
R101,15,858.8183670408242,0.9768447285647198,0.4228789234161377
R101,16,858.8183670408242,0.9768447285647198,0.41032407760620115
R101,17,858.8183670408242,0.9768447285647198,0.4180764722824097
R101,18,858.8183670408242,0.9768447285647198,0.3541103792190552
R101,19,858.8183670408242,0.9768447285647198,0.2930292797088623
R101,20,858.8183670408242,0.9768447285647198,0.284651985168457
R101,21,858.8183670408242,0.9768447285647198,0.2814309072494507
R101,22,858.8183670408242,0.9768447285647198,0.2836396980285645
R101,23,858.8183670408242,0.9768447285647198,0.29116143703460695
R101,24,858.8183670408242,0.9768447285647198,0.29970268726348875
R101,25,858.8183670408242,0.9768447285647198,0.30208233833312986
R101,26,858.8183670408242,0.9768447285647198,0.37573397159576416
R101,27,834.838724583193,1.0054129317252984,0.4077051782608032
R101,28,858.8183670408242,0.9768447285647198,0.39926767349243164
R101,29,834.838724583193,1.0054129317252984,0.4027373266220093
