Instance,shuffle time,cost,performance,run time
R101_2D,0,974.0861857712692,0.9350025482382911,0.3396106004714966
R101_2D,1,974.0861857712692,0.9350025482382911,0.3846975040435791
R101_2D,2,954.2461411857645,0.9566942601576744,0.3567758417129517
R101_2D,3,962.7535312814168,0.9473928770712912,0.36505009651184084
R101_2D,4,941.5210759105637,0.970606953191977,0.3866925430297852
R101_2D,5,974.0861857712692,0.9350025482382911,0.3882400798797607
R101_2D,6,954.2461411857645,0.9566942601576744,0.38193455696105955
R101_2D,7,931.3279982909605,0.9817513486767475,0.4251243543624878
R101_2D,8,963.7476880722978,0.9463059358289189,0.4068374443054199
R101_2D,9,974.0861857712692,0.9350025482382911,0.29815412998199464
R101_2D,10,961.9833535036419,0.9482349353847291,0.33289672374725343
R101_2D,11,961.9833535036419,0.9482349353847291,0.44108655452728274
R101_2D,12,959.3699845291349,0.951092209555145,0.4678083086013794
R101_2D,13,967.9271773898411,0.9417363756217546,0.464433970451355
R101_2D,14,941.5210759105637,0.970606953191977,0.4266169834136963
R101_2D,15,965.3934257091846,0.9445066018324461,0.355643572807312
R101_2D,16,974.0861857712692,0.9350025482382911,0.34691231727600097
R101_2D,17,974.0861857712692,0.9350025482382911,0.27820529460906984
R101_2D,18,931.3279982909605,0.9817513486767475,0.2769854402542114
R101_2D,19,962.1464170450329,0.94805665315612,0.2833055877685547
R101_2D,20,974.0861857712692,0.9350025482382911,0.2779192590713501
R101_2D,21,961.9833535036419,0.9482349353847291,0.28060341358184815
R101_2D,22,967.9271773898411,0.9417363756217546,0.2847436237335205
R101_2D,23,965.1678038048613,0.9447532809833015,0.3762232732772827
R101_2D,24,964.1365197271277,0.9458808145946718,0.41409843921661377
R101_2D,25,959.3699845291349,0.951092209555145,0.4145064926147461
R101_2D,26,930.026148801888,0.9831746995143756,0.41181628227233885
R101_2D,27,974.0861857712692,0.9350025482382911,0.4208284330368042
R101_2D,28,962.1464170450329,0.94805665315612,0.4087360382080078
R101_2D,29,967.9271773898411,0.9417363756217546,0.37554336071014405
