Instance,shuffle time,cost,run time
C101_50_2D,0,608.0095425284596,2.9798784017562867
C101_50_2D,1,606.2579385490637,2.900684747695923
C101_50_2D,2,607.02602199768,2.8817303514480592
C101_50_2D,3,605.2353355137747,2.8479156255722047
C101_50_2D,4,610.1510679226594,2.8941729831695557
C101_50_2D,5,594.7012617286553,2.939329900741577
C101_50_2D,6,608.6399507842331,2.949802293777466
C101_50_2D,7,598.3546368189079,2.932769412994385
C101_50_2D,8,610.1510679226594,2.9110722827911375
C101_50_2D,9,608.3170525678782,2.8813054609298705
C101_50_2D,10,607.8068540275883,2.9352654218673706
C101_50_2D,11,600.2121587767448,2.980836272239685
C101_50_2D,12,605.2501489336572,2.94064884185791
C101_50_2D,13,602.6106259073799,2.9083626461029053
C101_50_2D,14,586.6656536053491,2.9705420541763305
C101_50_2D,15,611.4354488003762,2.9629562425613405
C101_50_2D,16,606.2362377166929,2.9267776155471803
C101_50_2D,17,593.1277659163766,2.856369609832764
C101_50_2D,18,570.706046300221,2.857525067329407
C101_50_2D,19,609.5176555801519,2.9180538702011107
C101_50_2D,20,609.5176555801519,2.9376923036575318
C101_50_2D,21,607.8590911406943,2.9047202968597414
C101_50_2D,22,608.5821728175309,2.9732318210601805
C101_50_2D,23,599.6465065907055,2.848157501220703
C101_50_2D,24,610.2944598386305,2.921660418510437
C101_50_2D,25,597.1799590230984,2.8965484523773193
C101_50_2D,26,610.1785879023535,2.8803516960144044
C101_50_2D,27,608.9319600864694,2.944000072479248
C101_50_2D,28,606.3576385606142,2.9219001960754394
C101_50_2D,29,593.2187883048239,2.921853094100952
