Instance,shuffle time,cost,performance,time
RC101,0,1011.769116377297,0.9580085356432214,0.07915843963623047
RC101,1,1011.769116377297,0.9580085356432214,0.08009593963623046
RC101,2,1011.769116377297,0.9580085356432214,0.0801423454284668
RC101,3,1011.769116377297,0.9580085356432214,0.08045090198516845
RC101,4,1011.769116377297,0.9580085356432214,0.0804581880569458
RC101,5,1011.769116377297,0.9580085356432214,0.08047183990478515
RC101,6,1011.769116377297,0.9580085356432214,0.08044727802276612
RC101,7,1011.769116377297,0.9580085356432214,0.08051355838775635
RC101,8,1011.769116377297,0.9580085356432214,0.08032604694366455
RC101,9,1011.769116377297,0.9580085356432214,0.08047464847564698
RC101,10,1011.769116377297,0.9580085356432214,0.08053409099578858
RC101,11,1011.769116377297,0.9580085356432214,0.0806950283050537
RC101,12,1011.769116377297,0.9580085356432214,0.08048442840576171
RC101,13,1011.769116377297,0.9580085356432214,0.08057837009429931
RC101,14,1011.769116377297,0.9580085356432214,0.0804741096496582
RC101,15,1011.769116377297,0.9580085356432214,0.08041196823120117
RC101,16,1011.769116377297,0.9580085356432214,0.08026542186737061
RC101,17,1011.769116377297,0.9580085356432214,0.08040238380432128
RC101,18,1011.769116377297,0.9580085356432214,0.08038980960845947
RC101,19,1011.769116377297,0.9580085356432214,0.0803667402267456
RC101,20,1011.769116377297,0.9580085356432214,0.08046312808990479
RC101,21,1011.769116377297,0.9580085356432214,0.08049774646759034
RC101,22,1011.769116377297,0.9580085356432214,0.08045699596405029
RC101,23,1011.769116377297,0.9580085356432214,0.0806029987335205
RC101,24,1011.769116377297,0.9580085356432214,0.08066256999969483
RC101,25,1011.769116377297,0.9580085356432214,0.08065254211425782
RC101,26,1011.769116377297,0.9580085356432214,0.08061576843261718
RC101,27,1011.769116377297,0.9580085356432214,0.08078850269317626
RC101,28,1011.769116377297,0.9580085356432214,0.08075354099273682
RC101,29,1011.769116377297,0.9580085356432214,0.08081120491027832
