Instance,shuffle time,cost,performance,run time
RC101,0,1011.769116377297,0.9580085356432214,0.38836413860321045
RC101,1,1011.769116377297,0.9580085356432214,0.49099987506866455
RC101,2,1011.769116377297,0.9580085356432214,0.509062294960022
RC101,3,1011.769116377297,0.9580085356432214,0.33016572952270506
RC101,4,1011.769116377297,0.9580085356432214,0.2943959617614746
RC101,5,1011.769116377297,0.9580085356432214,0.34687214374542236
RC101,6,1011.769116377297,0.9580085356432214,0.4174479818344116
RC101,7,1011.769116377297,0.9580085356432214,0.4225268840789795
RC101,8,1011.769116377297,0.9580085356432214,0.3561134481430054
RC101,9,1011.769116377297,0.9580085356432214,0.3669956398010254
RC101,10,1011.769116377297,0.9580085356432214,0.3517750358581543
RC101,11,1011.769116377297,0.9580085356432214,0.323528904914856
RC101,12,1011.769116377297,0.9580085356432214,0.3539259815216064
RC101,13,1011.769116377297,0.9580085356432214,0.39089951038360593
RC101,14,1011.769116377297,0.9580085356432214,0.42189852237701414
RC101,15,1011.769116377297,0.9580085356432214,0.4422816467285156
RC101,16,1011.769116377297,0.9580085356432214,0.3317856740951538
RC101,17,1011.769116377297,0.9580085356432214,0.3480205774307251
RC101,18,1011.769116377297,0.9580085356432214,0.39119250774383546
RC101,19,1011.769116377297,0.9580085356432214,0.3930303478240967
RC101,20,1011.769116377297,0.9580085356432214,0.3432242727279663
RC101,21,1011.769116377297,0.9580085356432214,0.3354405927658081
RC101,22,1011.769116377297,0.9580085356432214,0.364819917678833
RC101,23,1011.769116377297,0.9580085356432214,0.4102072858810425
RC101,24,1011.769116377297,0.9580085356432214,0.3314769983291626
RC101,25,1011.769116377297,0.9580085356432214,0.29376146793365476
RC101,26,1011.769116377297,0.9580085356432214,0.29303314208984377
RC101,27,1011.769116377297,0.9580085356432214,0.2860344696044922
RC101,28,1011.769116377297,0.9580085356432214,0.29226946353912353
RC101,29,1011.769116377297,0.9580085356432214,0.28654616832733154
