Instance,shuffle time,cost,run time
C101_2D,0,953.9477307129646,6.234043855667114
C101_2D,1,987.4101276679859,6.264675846099854
C101_2D,2,979.0469437705171,6.378244681358337
C101_2D,3,980.1341928390791,6.224628672599793
C101_2D,4,975.9483116183429,6.185891981124878
C101_2D,5,980.140924171544,6.163014550209045
C101_2D,6,979.0469437705171,6.101148962974548
C101_2D,7,979.0469437705171,6.2801114320755005
C101_2D,8,984.4958614160206,6.259866452217102
C101_2D,9,980.140924171544,6.248956913948059
C101_2D,10,980.8820597984106,6.079809532165528
C101_2D,11,979.0469437705171,6.165748519897461
C101_2D,12,976.008406478982,6.423126049041748
C101_2D,13,980.140924171544,6.201370787620545
C101_2D,14,979.0469437705171,6.148574032783508
C101_2D,15,979.0469437705171,6.20327196598053
C101_2D,16,971.8109919865452,6.32416407585144
C101_2D,17,983.7242473985259,6.120266966819763
C101_2D,18,980.140924171544,6.2668698072433475
C101_2D,19,976.0415824486595,6.169052805900574
C101_2D,20,984.7645378731779,6.341391344070434
C101_2D,21,984.4958614160206,6.269807076454162
C101_2D,22,961.1505554163583,7.339224839210511
C101_2D,23,978.7669889171865,6.122851819992065
C101_2D,24,973.559657957951,6.214704394340515
C101_2D,25,987.3244658172,6.110357508659363
C101_2D,26,980.140924171544,6.299727554321289
C101_2D,27,971.8109919865452,6.320108819007873
C101_2D,28,984.9037369506336,6.186253027915955
C101_2D,29,980.140924171544,6.230008759498596
