Instance,shuffle time,cost,run time
R101,0,838.285432025819,6.992369771003723
R101,1,839.0733663197254,6.803525915145874
R101,2,840.4080432807973,7.093702702522278
R101,3,840.9465135395667,6.906089978218079
R101,4,835.3734894277319,6.904132261276245
R101,5,837.0223818816462,7.79148268699646
R101,6,836.9451449214291,6.926275000572205
R101,7,835.641960966833,7.190792994499207
R101,8,839.5388483823172,6.995235075950623
R101,9,841.0621654921233,6.915710201263428
R101,10,841.7150152870063,7.174788827896118
R101,11,840.9465135395667,7.032237429618835
R101,12,837.2031958007344,7.131531491279602
R101,13,840.967097004279,8.282196865081787
R101,14,841.0621654921233,7.110481810569763
R101,15,846.5308585999862,7.043578867912292
R101,16,841.7598468617085,6.867345871925354
R101,17,841.0621654921233,7.135337839126587
R101,18,837.8764762904015,7.124887747764587
R101,19,841.0621654921233,7.001670436859131
R101,20,838.6193337253876,7.079210562705994
R101,21,841.0621654921233,7.076886978149414
R101,22,838.8110453198109,7.08976589679718
R101,23,823.3512991235268,7.113080186843872
R101,24,840.9465135395667,7.069503593444824
R101,25,840.9465135395667,6.91609757900238
R101,26,840.4080432807973,7.0032415771484375
R101,27,840.9465135395667,7.0336865711212155
R101,28,840.9465135395667,7.189613523483277
R101,29,840.9465135395667,6.892088012695313
