Instance,shuffle time,cost,run time
R101_50_2D,0,574.9240831162216,3.1675925970077516
R101_50_2D,1,563.4567981722796,3.2038145160675047
R101_50_2D,2,576.1239939392555,3.2534299898147583
R101_50_2D,3,575.69830463853,3.1610894346237184
R101_50_2D,4,562.8599460754647,3.2161292028427124
R101_50_2D,5,580.7618063581092,3.2047775077819822
R101_50_2D,6,568.068094745515,3.1704014682769777
R101_50_2D,7,572.6838968416114,3.183874177932739
R101_50_2D,8,575.69830463853,3.1110180711746214
R101_50_2D,9,582.774957138032,3.087135047912598
R101_50_2D,10,571.9160193528347,3.10573983669281
R101_50_2D,11,569.5189523773495,3.1294536113739015
R101_50_2D,12,575.69830463853,3.210700249671936
R101_50_2D,13,568.637410611999,3.1337809896469118
R101_50_2D,14,572.2449725854331,3.137833824157715
R101_50_2D,15,577.1894923314729,3.130896954536438
R101_50_2D,16,575.69830463853,3.1275206279754637
R101_50_2D,17,575.3219071068567,3.1646080207824707
R101_50_2D,18,566.8234896738662,3.107137246131897
R101_50_2D,19,570.1857468460081,3.1735361862182616
R101_50_2D,20,571.5482785867599,3.2556161785125735
R101_50_2D,21,566.8234896738662,3.1719216012954714
R101_50_2D,22,575.3219071068567,3.258583688735962
R101_50_2D,23,575.69830463853,3.1061553144454956
R101_50_2D,24,575.69830463853,3.1967548656463625
R101_50_2D,25,571.5396218211614,3.196230897903442
R101_50_2D,26,575.69830463853,3.136199870109558
R101_50_2D,27,572.1089286841864,3.2095568799972534
R101_50_2D,28,562.6734636220962,3.1868334579467774
R101_50_2D,29,568.1700203745407,3.1447582483291625
