Instance,shuffle time,cost,run time
RC101_20_2D,0,355.4975945504676,1.148194236755371
RC101_20_2D,1,369.5014569771568,1.1768932485580443
RC101_20_2D,2,379.30565381114286,1.1430216789245606
RC101_20_2D,3,376.9527720376674,1.2296542263031005
RC101_20_2D,4,384.00023379301376,1.475199956893921
RC101_20_2D,5,373.86622483787903,1.5126545190811158
RC101_20_2D,6,360.1370804368723,1.204849934577942
RC101_20_2D,7,363.96596452427286,1.1316107940673827
RC101_20_2D,8,358.72065292772885,1.182239933013916
RC101_20_2D,9,363.4152329095997,1.1921689891815186
RC101_20_2D,10,384.00023379301376,1.1666738033294677
RC101_20_2D,11,375.96100249149185,1.13811252117157
RC101_20_2D,12,372.86351337467715,1.15816349029541
RC101_20_2D,13,355.4975945504676,1.1748064947128296
RC101_20_2D,14,360.1921745323384,1.195578808784485
RC101_20_2D,15,360.1370804368723,1.167248239517212
RC101_20_2D,16,372.86351337467715,1.178425850868225
RC101_20_2D,17,351.9419616389674,1.1547011423110962
RC101_20_2D,18,379.30565381114286,1.1589252901077272
RC101_20_2D,19,374.67836113230595,1.1226047229766847
RC101_20_2D,20,384.00023379301376,1.1298408365249635
RC101_20_2D,21,375.8343975656757,1.1186164569854737
RC101_20_2D,22,370.200752745101,1.143585329055786
RC101_20_2D,23,358.72065292772885,1.1604553318023683
RC101_20_2D,24,369.1270896320656,1.1754155302047729
RC101_20_2D,25,379.30565381114286,1.1573147296905517
RC101_20_2D,26,384.00023379301376,1.1849075984954833
RC101_20_2D,27,379.38626975097947,1.1446380376815797
RC101_20_2D,28,384.00023379301376,1.1549556589126586
RC101_20_2D,29,355.4975945504676,1.1802659511566163
