Instance,shuffle time,cost,run time
R101_2D,0,928.6302991114583,7.519980387687683
R101_2D,1,914.9384577581027,8.942271933555602
R101_2D,2,917.5078872103818,7.767425775527954
R101_2D,3,915.7623842664495,8.204722785949707
R101_2D,4,929.8966852167617,7.86306697845459
R101_2D,5,894.6898061516233,7.73004831790924
R101_2D,6,898.4354994010516,7.751333112716675
R101_2D,7,916.5981946491532,7.811100869178772
R101_2D,8,912.5698003513638,7.628832001686096
R101_2D,9,926.4187551169776,7.745620355606079
R101_2D,10,916.1176004837539,7.826081237792969
R101_2D,11,916.2542837509512,7.807658066749573
R101_2D,12,921.4772016354526,7.678271594047547
R101_2D,13,904.4606440989011,7.765587158203125
R101_2D,14,900.9833055001764,7.624482803344726
R101_2D,15,916.9422705343198,7.748142962455749
R101_2D,16,912.5698003513638,7.743523411750793
R101_2D,17,920.2184658347628,7.895354585647583
R101_2D,18,898.4354994010516,7.784109992980957
R101_2D,19,928.0414734441458,7.82084704875946
R101_2D,20,915.7623842664495,7.535518064498901
R101_2D,21,919.1103254434588,7.6759012508392335
R101_2D,22,901.3118769078844,7.798301267623901
R101_2D,23,917.7210681693633,7.6547744178771975
R101_2D,24,925.0250017678426,7.580403118133545
R101_2D,25,912.5698003513638,7.896987085342407
R101_2D,26,915.7623842664495,7.723638668060302
R101_2D,27,915.7623842664495,7.652952508926392
R101_2D,28,912.5698003513638,7.714088296890258
R101_2D,29,912.5698003513638,7.870842604637146
