Instance,shuffle time,cost,performance,time
RC101_50_2D,0,793.3606768266154,0.8917442837473174,0.040141921043396
RC101_50_2D,1,793.3606768266154,0.8917442837473174,0.03976978778839111
RC101_50_2D,2,793.3606768266154,0.8917442837473174,0.03982353687286377
RC101_50_2D,3,793.3606768266154,0.8917442837473174,0.040071873664855956
RC101_50_2D,4,793.3606768266154,0.8917442837473174,0.03976458549499512
RC101_50_2D,5,793.3606768266154,0.8917442837473174,0.03977772235870361
RC101_50_2D,6,793.3606768266154,0.8917442837473174,0.039879288673400876
RC101_50_2D,7,793.3606768266154,0.8917442837473174,0.039792799949646
RC101_50_2D,8,793.3606768266154,0.8917442837473174,0.03979717254638672
RC101_50_2D,9,793.3606768266154,0.8917442837473174,0.03982443332672119
RC101_50_2D,10,793.3606768266154,0.8917442837473174,0.0397912073135376
RC101_50_2D,11,793.3606768266154,0.8917442837473174,0.03980175971984863
RC101_50_2D,12,793.3606768266154,0.8917442837473174,0.03975207328796387
RC101_50_2D,13,793.3606768266154,0.8917442837473174,0.039812746047973635
RC101_50_2D,14,793.3606768266154,0.8917442837473174,0.0398563814163208
RC101_50_2D,15,793.3606768266154,0.8917442837473174,0.03987300395965576
RC101_50_2D,16,793.3606768266154,0.8917442837473174,0.03981276988983154
RC101_50_2D,17,793.3606768266154,0.8917442837473174,0.039913601875305176
RC101_50_2D,18,793.3606768266154,0.8917442837473174,0.039894695281982424
RC101_50_2D,19,793.3606768266154,0.8917442837473174,0.03986297130584717
RC101_50_2D,20,793.3606768266154,0.8917442837473174,0.0398952054977417
RC101_50_2D,21,793.3606768266154,0.8917442837473174,0.03980950832366943
RC101_50_2D,22,793.3606768266154,0.8917442837473174,0.03995436668395996
RC101_50_2D,23,793.3606768266154,0.8917442837473174,0.039913239479064944
RC101_50_2D,24,793.3606768266154,0.8917442837473174,0.039883475303649905
RC101_50_2D,25,793.3606768266154,0.8917442837473174,0.03993207931518555
RC101_50_2D,26,793.3606768266154,0.8917442837473174,0.03989537239074707
RC101_50_2D,27,793.3606768266154,0.8917442837473174,0.03983140468597412
RC101_50_2D,28,793.3606768266154,0.8917442837473174,0.03983120918273926
RC101_50_2D,29,793.3606768266154,0.8917442837473174,0.03991650581359863
