Instance,shuffle time,cost,run time
C101,0,702.6201946730081,5.822231492996216
C101,1,702.9488845723318,5.678726654052735
C101,2,693.07634436915,5.757826275825501
C101,3,700.2768684624979,5.744182481765747
C101,4,702.6201946730081,5.818157510757446
C101,5,702.6201946730081,5.7907063674926755
C101,6,702.6201946730081,5.649919490814209
C101,7,701.205981110635,5.661177945137024
C101,8,700.8630571869566,5.76472131729126
C101,9,700.5343672876328,5.752982177734375
C101,10,702.6201946730081,5.756800713539124
C101,11,696.9508226583969,5.662536225318909
C101,12,702.5305899252883,5.690449123382568
C101,13,701.1920356244068,5.797277116775513
C101,14,703.3033864838778,5.642041516304016
C101,15,703.9448034876614,5.653058166503906
C101,16,703.1263577142602,5.8204181146621705
C101,17,702.6201946730081,5.773259048461914
C101,18,702.6201946730081,5.6555883502960205
C101,19,696.8298881401391,5.761429486274719
C101,20,701.1377203230654,5.696361312866211
C101,21,702.6201946730081,5.7523239850997925
C101,22,702.6201946730081,5.621545076370239
C101,23,704.6342788462186,5.734517302513122
C101,24,702.6201946730081,5.712805027961731
C101,25,703.9448034876614,5.840332193374634
C101,26,699.6648946106905,5.717797470092774
C101,27,702.6201946730081,5.659238629341125
C101,28,702.6201946730081,5.79367666721344
C101,29,705.2121850996355,5.594197988510132
