Instance,shuffle time,cost,performance,time
R101_50_2D,0,608.1025201299926,0.937599737197604,0.04108371734619141
R101_50_2D,1,608.1025201299926,0.937599737197604,0.04142329692840576
R101_50_2D,2,608.1025201299926,0.937599737197604,0.04094890117645264
R101_50_2D,3,608.1025201299926,0.937599737197604,0.04089616298675537
R101_50_2D,4,608.1025201299926,0.937599737197604,0.04091131210327149
R101_50_2D,5,608.1025201299926,0.937599737197604,0.04089997291564942
R101_50_2D,6,608.1025201299926,0.937599737197604,0.0409016752243042
R101_50_2D,7,608.1025201299926,0.937599737197604,0.04085492610931397
R101_50_2D,8,608.1025201299926,0.937599737197604,0.04089334487915039
R101_50_2D,9,608.1025201299926,0.937599737197604,0.040860319137573244
R101_50_2D,10,608.1025201299926,0.937599737197604,0.04093091011047363
R101_50_2D,11,608.1025201299926,0.937599737197604,0.04102931022644043
R101_50_2D,12,608.1025201299926,0.937599737197604,0.04111320018768311
R101_50_2D,13,608.1025201299926,0.937599737197604,0.040947284698486325
R101_50_2D,14,608.1025201299926,0.937599737197604,0.0409820032119751
R101_50_2D,15,608.1025201299926,0.937599737197604,0.04100144863128662
R101_50_2D,16,608.1025201299926,0.937599737197604,0.040945792198181154
R101_50_2D,17,608.1025201299926,0.937599737197604,0.04096513748168945
R101_50_2D,18,608.1025201299926,0.937599737197604,0.041015949249267575
R101_50_2D,19,608.1025201299926,0.937599737197604,0.04101419925689697
R101_50_2D,20,608.1025201299926,0.937599737197604,0.04095932960510254
R101_50_2D,21,608.1025201299926,0.937599737197604,0.0410230016708374
R101_50_2D,22,608.1025201299926,0.937599737197604,0.041027698516845706
R101_50_2D,23,608.1025201299926,0.937599737197604,0.04104722499847412
R101_50_2D,24,608.1025201299926,0.937599737197604,0.041057310104370116
R101_50_2D,25,608.1025201299926,0.937599737197604,0.041155309677124025
R101_50_2D,26,608.1025201299926,0.937599737197604,0.040999832153320315
R101_50_2D,27,608.1025201299926,0.937599737197604,0.041018466949462894
R101_50_2D,28,608.1025201299926,0.937599737197604,0.04104477405548096
R101_50_2D,29,608.1025201299926,0.937599737197604,0.041117281913757325
