Instance,shuffle time,cost,performance,time
R101,0,879.9402500497949,0.9516811238112127,0.10043022632598878
R101,1,879.9402500497949,0.9516811238112127,0.10110807418823242
R101,2,879.9402500497949,0.9516811238112127,0.10130911827087402
R101,3,879.9402500497949,0.9516811238112127,0.13081155300140382
R101,4,879.9402500497949,0.9516811238112127,0.13524331092834474
R101,5,879.9402500497949,0.9516811238112127,0.10097063064575196
R101,6,879.9402500497949,0.9516811238112127,0.10157057285308838
R101,7,879.9402500497949,0.9516811238112127,0.10168969631195068
R101,8,879.9402500497949,0.9516811238112127,0.10167807579040528
R101,9,879.9402500497949,0.9516811238112127,0.10182336807250976
R101,10,879.9402500497949,0.9516811238112127,0.1017448377609253
R101,11,879.9402500497949,0.9516811238112127,0.10193015098571777
R101,12,879.9402500497949,0.9516811238112127,0.10189448833465577
R101,13,879.9402500497949,0.9516811238112127,0.10202727317810059
R101,14,879.9402500497949,0.9516811238112127,0.10195336818695068
R101,15,879.9402500497949,0.9516811238112127,0.10181297302246094
R101,16,879.9402500497949,0.9516811238112127,0.1018370008468628
R101,17,879.9402500497949,0.9516811238112127,0.10205519676208497
R101,18,879.9402500497949,0.9516811238112127,0.10215139865875245
R101,19,879.9402500497949,0.9516811238112127,0.10231852054595947
R101,20,879.9402500497949,0.9516811238112127,0.1013060998916626
R101,21,879.9402500497949,0.9516811238112127,0.101677827835083
R101,22,879.9402500497949,0.9516811238112127,0.10165213108062744
R101,23,879.9402500497949,0.9516811238112127,0.10177863121032715
R101,24,879.9402500497949,0.9516811238112127,0.10174939632415772
R101,25,879.9402500497949,0.9516811238112127,0.10180014610290528
R101,26,879.9402500497949,0.9516811238112127,0.10186833858489991
R101,27,879.9402500497949,0.9516811238112127,0.1020367193222046
R101,28,879.9402500497949,0.9516811238112127,0.10212038516998291
R101,29,879.9402500497949,0.9516811238112127,0.10198521614074707
