Instance,shuffle time,cost,performance,run time
RC101_20_2D,0,442.02054911961693,0.8067341704507549,0.1702698802947998
RC101_20_2D,1,434.0395020926517,0.828279573080274,0.16523423671722412
RC101_20_2D,2,443.85348202997557,0.8017860380298902,0.16549808979034425
RC101_20_2D,3,442.86627281389065,0.8044510793419208,0.1670375347137451
RC101_20_2D,4,438.35188032969705,0.8166380021066912,0.1648777198791504
RC101_20_2D,5,436.23836055877035,0.8223435986626583,0.15892311573028564
RC101_20_2D,6,431.8409765306964,0.834214648799484,0.16043394565582275
RC101_20_2D,7,447.75410480378537,0.7912560301394895,0.16547016620635988
RC101_20_2D,8,384.7618556093232,0.96130807554759,0.16397393703460694
RC101_20_2D,9,438.71003412069257,0.8156711405402557,0.1621805763244629
RC101_20_2D,10,434.9455224917597,0.8258337067392556,0.16145459651947022
RC101_20_2D,11,431.8858015664893,0.8340936404354464,0.16164180278778076
RC101_20_2D,12,443.0366993464248,0.8039910008271851,0.15652173042297363
RC101_20_2D,13,436.1569217011689,0.8225634486360743,0.1632426643371582
RC101_20_2D,14,428.3456600068356,0.8436505037154809,0.1632877445220947
RC101_20_2D,15,422.5223386990082,0.8593709726958406,0.16449822425842286
RC101_20_2D,16,429.1446726624108,0.8414935123693223,0.16599728107452394
RC101_20_2D,17,449.21250791019054,0.7873189674937644,0.1628700876235962
RC101_20_2D,18,436.3226198165742,0.8221161348188148,0.1614334011077881
RC101_20_2D,19,428.7450629027272,0.8425722872641423,0.16468839168548585
RC101_20_2D,20,438.51210829125614,0.8162054553577954,0.16447541236877442
RC101_20_2D,21,433.84480805984606,0.8288051634335433,0.14491204261779786
RC101_20_2D,22,443.26964315731493,0.8033621524845147,0.13359586238861085
RC101_20_2D,23,423.374969406773,0.8570692356140995,0.11592913627624511
RC101_20_2D,24,442.02859852167416,0.8067124405188721,0.11469281196594239
RC101_20_2D,25,437.83403457722613,0.8180359634517723,0.11450607776641845
RC101_20_2D,26,449.21250791019054,0.7873189674937644,0.12094414710998536
RC101_20_2D,27,449.21250791019054,0.7873189674937644,0.11987014293670654
RC101_20_2D,28,394.4843184559985,0.9350615973756891,0.1285371685028076
RC101_20_2D,29,439.31917292347174,0.8140267271294841,0.14572947978973388
