Instance,shuffle time,cost,performance,run time
R101_50_2D,0,608.1025201299925,0.9375997371976043,0.26916224479675294
R101_50_2D,1,608.1025201299925,0.9375997371976043,0.25913124084472655
R101_50_2D,2,608.1025201299925,0.9375997371976043,0.31764597415924073
R101_50_2D,3,608.1025201299925,0.9375997371976043,0.32949315547943114
R101_50_2D,4,608.1025201299925,0.9375997371976043,0.31328329563140866
R101_50_2D,5,608.1025201299925,0.9375997371976043,0.3251286268234253
R101_50_2D,6,608.1025201299925,0.9375997371976043,0.3104922437667847
R101_50_2D,7,608.1025201299925,0.9375997371976043,0.3444576597213745
R101_50_2D,8,608.1025201299925,0.9375997371976043,0.2617683410644531
R101_50_2D,9,608.1025201299925,0.9375997371976043,0.1798722791671753
R101_50_2D,10,608.1025201299925,0.9375997371976043,0.203236722946167
R101_50_2D,11,608.1025201299925,0.9375997371976043,0.18884953498840332
R101_50_2D,12,608.1025201299925,0.9375997371976043,0.1847228956222534
R101_50_2D,13,608.1025201299925,0.9375997371976043,0.18059600353240968
R101_50_2D,14,608.1025201299925,0.9375997371976043,0.18417923927307128
R101_50_2D,15,608.1025201299925,0.9375997371976043,0.18008564472198485
R101_50_2D,16,608.1025201299925,0.9375997371976043,0.18261685371398925
R101_50_2D,17,608.1025201299925,0.9375997371976043,0.19916615009307861
R101_50_2D,18,608.1025201299925,0.9375997371976043,0.1973397159576416
R101_50_2D,19,608.1025201299925,0.9375997371976043,0.18972648143768311
R101_50_2D,20,608.1025201299925,0.9375997371976043,0.18817822456359865
R101_50_2D,21,608.1025201299925,0.9375997371976043,0.17943943977355958
R101_50_2D,22,608.1025201299925,0.9375997371976043,0.19566398620605469
R101_50_2D,23,608.1025201299925,0.9375997371976043,0.18245478153228759
R101_50_2D,24,608.1025201299925,0.9375997371976043,0.18018277645111083
R101_50_2D,25,608.1025201299925,0.9375997371976043,0.17506475925445555
R101_50_2D,26,608.1025201299925,0.9375997371976043,0.18008218765258788
R101_50_2D,27,608.1025201299925,0.9375997371976043,0.18815001487731933
R101_50_2D,28,608.1025201299925,0.9375997371976043,0.18517914772033692
R101_50_2D,29,608.1025201299925,0.9375997371976043,0.19722067356109618
