Instance,shuffle time,cost,performance,time
R101_20,0,338.7402905536752,0.9188738852013524,0.0075214624404907225
R101_20,1,338.7402905536752,0.9188738852013524,0.00733820915222168
R101_20,2,338.7402905536752,0.9188738852013524,0.007322702407836914
R101_20,3,338.7402905536752,0.9188738852013524,0.007341628074645996
R101_20,4,338.7402905536752,0.9188738852013524,0.007342524528503418
R101_20,5,338.7402905536752,0.9188738852013524,0.007313656806945801
R101_20,6,338.7402905536752,0.9188738852013524,0.007282142639160156
R101_20,7,338.7402905536752,0.9188738852013524,0.007291975021362304
R101_20,8,338.7402905536752,0.9188738852013524,0.007287302017211914
R101_20,9,338.7402905536752,0.9188738852013524,0.007297401428222656
R101_20,10,338.7402905536752,0.9188738852013524,0.007282829284667969
R101_20,11,338.7402905536752,0.9188738852013524,0.0073692560195922855
R101_20,12,338.7402905536752,0.9188738852013524,0.007325425148010254
R101_20,13,338.7402905536752,0.9188738852013524,0.007306218147277832
R101_20,14,338.7402905536752,0.9188738852013524,0.007281026840209961
R101_20,15,338.7402905536752,0.9188738852013524,0.007290143966674805
R101_20,16,338.7402905536752,0.9188738852013524,0.007287321090698243
R101_20,17,338.7402905536752,0.9188738852013524,0.007318415641784668
R101_20,18,338.7402905536752,0.9188738852013524,0.0073527336120605465
R101_20,19,338.7402905536752,0.9188738852013524,0.0073821163177490235
R101_20,20,338.7402905536752,0.9188738852013524,0.007380642890930176
R101_20,21,338.7402905536752,0.9188738852013524,0.007349071502685547
R101_20,22,338.7402905536752,0.9188738852013524,0.007365245819091797
R101_20,23,338.7402905536752,0.9188738852013524,0.0073586320877075196
R101_20,24,338.7402905536752,0.9188738852013524,0.00735748291015625
R101_20,25,338.7402905536752,0.9188738852013524,0.007372293472290039
R101_20,26,338.7402905536752,0.9188738852013524,0.007349414825439453
R101_20,27,338.7402905536752,0.9188738852013524,0.007374954223632812
R101_20,28,338.7402905536752,0.9188738852013524,0.0073614978790283205
R101_20,29,338.7402905536752,0.9188738852013524,0.007343149185180664
