Instance,shuffle time,cost,performance,run time
C101_2D,0,947.3196203714392,1.0317766807495505,0.39358309268951414
C101_2D,1,949.1405984335904,1.0299155207084159,0.3362771558761597
C101_2D,2,947.3196203714392,1.0317766807495505,0.35932148456573487
C101_2D,3,961.7488079875036,1.0170290964841306,0.37027655124664305
C101_2D,4,945.4461970201301,1.0336914433455735,0.36290827751159666
C101_2D,5,945.8330156578277,1.0332960891089615,0.3453107213973999
C101_2D,6,951.1423275069651,1.0278696211767424,0.342597017288208
C101_2D,7,953.4916169902402,1.025468491914282,0.34888449668884275
C101_2D,8,945.8330156578277,1.0332960891089615,0.32710474014282226
C101_2D,9,956.4103207508506,1.0224853835924055,0.33461450099945067
C101_2D,10,949.1405984335904,1.0299155207084159,0.3220616340637207
C101_2D,11,937.5133646531817,1.0417993227985216,0.33115507125854493
C101_2D,12,957.8139126717484,1.0210508197986228,0.3332957744598389
C101_2D,13,960.8903156968277,1.0179065323963135,0.3417745876312256
C101_2D,14,996.4291174024744,0.9815835260849557,0.34842983722686766
C101_2D,15,978.639808200853,0.9997653768900862,0.3372923278808594
C101_2D,16,951.1423275069651,1.0278696211767424,0.3433399152755737
C101_2D,17,956.4103207508506,1.0224853835924055,0.3474949598312378
C101_2D,18,945.8330156578277,1.0332960891089615,0.35245829582214355
C101_2D,19,970.1333538241402,1.0084595359833435,0.3339625358581543
C101_2D,20,968.2756850952267,1.0103581963130759,0.35336110591888426
C101_2D,21,945.8330156578277,1.0332960891089615,0.3375087261199951
C101_2D,22,937.5133646531817,1.0417993227985216,0.32985068798065187
C101_2D,23,951.1423275069651,1.0278696211767424,0.33789180755615233
C101_2D,24,937.5133646531817,1.0417993227985216,0.35211519718170164
C101_2D,25,957.2665600018365,1.0216102504358293,0.35967886447906494
C101_2D,26,962.8452436650555,1.015908466690094,0.412495436668396
C101_2D,27,945.8330156578277,1.0332960891089615,0.4404419326782227
C101_2D,28,971.6949564289187,1.0068634748178882,0.36717875957489016
C101_2D,29,968.5166477818485,1.0101119165071484,0.3849185943603516
